delta		T0inf
-1.00		2.4940e-01
-0.95		2.5816e-01
-0.90		2.6687e-01
-0.85		2.7534e-01
-0.80		2.8347e-01
-0.75		2.9118e-01
-0.70		2.9840e-01
-0.65		3.0511e-01
-0.60		3.1130e-01
-0.55		3.1694e-01
-0.50		3.2204e-01
-0.45		3.2660e-01
-0.40		3.3063e-01
-0.35	        3.3414e-01
-0.30		3.3714e-01
-0.25		3.3964e-01
-0.20		3.4164e-01
-0.15		3.4316e-01
-0.10		3.4420e-01
-0.05		3.4476e-01
 0.00		3.4486e-01
 0.05		3.4449e-01
 0.10	        3.4364e-01
 0.15		3.4233e-01
 0.20		3.4053e-01
 0.25		3.3825e-01
 0.30		3.3548e-01
 0.35		3.3220e-01
 0.40	        3.2842e-01
 0.45	        3.2411e-01
 0.50		3.1927e-01
 0.55		3.1390e-01
 0.60	        3.0799e-01
 0.65		3.0155e-01
 0.70		2.9458e-01
 0.75		2.8711e-01
 0.80		2.7917e-01
 0.85		2.7083e-01
 0.90		2.6215e-01
 0.95		2.5327e-01
 1.00		2.4436e-01
