Circular: qc = 1.5, qa = 3.6, mu = 2.0, epsa = 0.2
 1.5000e+00  3.6000e+00  1.0000e-03  2.0000e+00  2.0000e-01  5.3588e-01  1.1574e-01  4.2014e-01  3.4477e+00  1.4078e-01  9.0010e-01  6.5293e-01  1.2340e-01  9.8768e-01
 1.5000e+00  3.6000e+00  5.0000e-03  2.0000e+00  2.0000e-01  5.3428e-01  1.1296e-01  4.2132e-01  1.7745e+00  7.4799e-01  9.5688e-01  5.4602e-01  6.1806e-01  9.9026e-01
 1.5000e+00  3.6000e+00  1.0000e-02  2.0000e+00  2.0000e-01  5.3193e-01  1.0906e-01  4.2287e-01  1.0254e+00  1.5298e+00  9.7900e-01  4.4117e-01  1.2376e+00  9.9260e-01
 1.5000e+00  3.6000e+00  2.0000e-02  2.0000e+00  2.0000e-01  5.2596e-01  9.9743e-02  4.2622e-01  4.6958e-01  3.0981e+00  9.9240e-01  2.8908e-01  2.4769e+00  9.9563e-01
 1.5000e+00  3.6000e+00  3.0000e-02  2.0000e+00  2.0000e-01  5.1811e-01  8.8152e-02  4.2996e-01  2.3972e-01  4.6619e+00  9.9670e-01  1.8315e-01  3.7130e+00  9.9745e-01
 1.5000e+00  3.6000e+00  4.0000e-02  2.0000e+00  2.0000e-01  5.0813e-01  7.3948e-02  4.3419e-01  1.1113e-01  6.2206e+00  9.9865e-01  1.0623e-01  4.9441e+00  9.9862e-01
 1.5000e+00  3.6000e+00  5.0000e-02  2.0000e+00  2.0000e-01  4.9575e-01  5.6720e-02  4.3903e-01  2.7062e-02  7.7746e+00  9.9970e-01  5.1261e-02  6.1690e+00  9.9938e-01
 1.5000e+00  3.6000e+00  6.0000e-02  2.0000e+00  2.0000e-01  4.8065e-01  3.5974e-02  4.4467e-01 -3.3226e-02  9.3239e+00  1.0003e+00  1.6001e-02  7.3872e+00  9.9982e-01
 1.5000e+00  3.6000e+00  7.0000e-02  2.0000e+00  2.0000e-01  4.6245e-01  1.1111e-02  4.5134e-01 -7.8845e-02  1.0869e+01  1.0008e+00  1.2228e-03  8.5979e+00  9.9999e-01
 1.5000e+00  3.6000e+00  8.0000e-02  2.0000e+00  2.0000e-01  4.4074e-01 -1.8601e-02  4.5934e-01 -1.1434e-01  1.2409e+01  1.0010e+00  1.0314e-02  9.8004e+00  9.9989e-01
 1.5000e+00  3.6000e+00  9.0000e-02  2.0000e+00  2.0000e-01  4.1504e-01 -5.4057e-02  4.6909e-01 -1.4194e-01  1.3945e+01  1.0012e+00  4.9702e-02  1.0994e+01  9.9950e-01
 1.5000e+00  3.6000e+00  1.0000e-01  2.0000e+00  2.0000e-01  3.8478e-01 -9.6362e-02  4.8114e-01 -1.6245e-01  1.5477e+01  1.0013e+00  1.3042e-01  1.2176e+01  9.9873e-01
 1.5000e+00  3.6000e+00  1.1000e-01  2.0000e+00  2.0000e-01  3.4933e-01 -1.4689e-01  4.9621e-01 -1.7536e-01  1.7005e+01  1.0013e+00  2.7159e-01  1.3344e+01  9.9744e-01
 1.5000e+00  3.6000e+00  1.2000e-01  2.0000e+00  2.0000e-01  3.0792e-01 -2.0733e-01  5.1525e-01 -1.7855e-01  1.8529e+01  1.0013e+00  5.0837e-01  1.4493e+01  9.9533e-01
 1.5000e+00  3.6000e+00  1.3000e-01  2.0000e+00  2.0000e-01  2.5970e-01 -2.7979e-01  5.3948e-01 -1.6664e-01  2.0048e+01  1.0012e+00  9.1207e-01  1.5610e+01  9.9181e-01
 1.5000e+00  3.6000e+00  1.4000e-01  2.0000e+00  2.0000e-01  2.0365e-01 -3.6686e-01  5.7051e-01 -1.2582e-01  2.1561e+01  1.0009e+00  1.6518e+00  1.6666e+01  9.8534e-01
