                 Q               Pr        RE(delta)        IM(delta)              psi              jxb
  -3.00000000E-001  1.00000000E-003 -2.13597486E-001 -4.94071112E-001  1.90423768E+000 -1.75530049E+000
  -2.94000000E-001  1.00000000E-003 -2.08536626E-001 -4.84337871E-001  1.94472603E+000 -1.79392654E+000
  -2.88000000E-001  1.00000000E-003 -2.03447972E-001 -4.74492502E-001  1.98741812E+000 -1.83466679E+000
  -2.82000000E-001  1.00000000E-003 -1.98322074E-001 -4.64518141E-001  2.03257094E+000 -1.87777108E+000
  -2.76000000E-001  1.00000000E-003 -1.93152396E-001 -4.54419404E-001  2.08038547E+000 -1.92344882E+000
  -2.70000000E-001  1.00000000E-003 -1.87953020E-001 -4.44168293E-001  2.13118689E+000 -1.97197396E+000
  -2.64000000E-001  1.00000000E-003 -1.82683187E-001 -4.33781591E-001  2.18524915E+000 -2.02369010E+000
  -2.58000000E-001  1.00000000E-003 -1.77357477E-001 -4.23233161E-001  2.24297480E+000 -2.07894957E+000
  -2.52000000E-001  1.00000000E-003 -1.71961815E-001 -4.12507152E-001  2.30483504E+000 -2.13822447E+000
  -2.46000000E-001  1.00000000E-003 -1.66483807E-001 -4.01598546E-001  2.37131595E+000 -2.20201319E+000
  -2.40000000E-001  1.00000000E-003 -1.60904730E-001 -3.90480923E-001  2.44311199E+000 -2.27101309E+000
  -2.34000000E-001  1.00000000E-003 -1.55202537E-001 -3.79133283E-001  2.52101871E+000 -2.34603963E+000
  -2.28000000E-001  1.00000000E-003 -1.49352864E-001 -3.67529215E-001  2.60601982E+000 -2.42810222E+000
  -2.22000000E-001  1.00000000E-003 -1.43322212E-001 -3.55636649E-001  2.69935764E+000 -2.51849238E+000
  -2.16000000E-001  1.00000000E-003 -1.37062140E-001 -3.43414115E-001  2.80265184E+000 -2.61892031E+000
  -2.10000000E-001  1.00000000E-003 -1.30507037E-001 -3.30812964E-001  2.91800888E+000 -2.73165048E+000
  -2.04000000E-001  1.00000000E-003 -1.23564073E-001 -3.17779543E-001  3.04819906E+000 -2.85973902E+000
  -1.98000000E-001  1.00000000E-003 -1.16102585E-001 -3.04240872E-001  3.19706803E+000 -3.00750775E+000
  -1.92000000E-001  1.00000000E-003 -1.07921251E-001 -2.90135931E-001  3.36976055E+000 -3.18102367E+000
  -1.86000000E-001  1.00000000E-003 -9.87287141E-002 -2.75421193E-001  3.57322488E+000 -3.38888081E+000
  -1.80000000E-001  1.00000000E-003 -8.80945394E-002 -2.60128409E-001  3.81626638E+000 -3.64284241E+000
  -1.74000000E-001  1.00000000E-003 -7.54277092E-002 -2.44473790E-001  4.10793707E+000 -3.95677966E+000
  -1.68000000E-001  1.00000000E-003 -6.00260192E-002 -2.29060482E-001  4.45037795E+000 -4.33868209E+000
  -1.62000000E-001  1.00000000E-003 -4.13395721E-002 -2.15097779E-001  4.81977987E+000 -4.76447843E+000
  -1.56000000E-001  1.00000000E-003 -1.95372283E-002 -2.04389225E-001  5.13813768E+000 -5.13196473E+000
  -1.50000000E-001  1.00000000E-003  3.91274223E-003 -1.98710173E-001  5.28478827E+000 -5.27048398E+000
  -1.44000000E-001  1.00000000E-003  2.64426752E-002 -1.98656939E-001  5.20441643E+000 -5.10995251E+000
  -1.38000000E-001  1.00000000E-003  4.56589545E-002 -2.03074404E-001  4.97668627E+000 -4.78195222E+000
  -1.32000000E-001  1.00000000E-003  6.04746819E-002 -2.09833875E-001  4.71927819E+000 -4.45061748E+000
  -1.26000000E-001  1.00000000E-003  7.11351969E-002 -2.17029162E-001  4.49721062E+000 -4.18714479E+000
  -1.20000000E-001  1.00000000E-003  7.85333416E-002 -2.23511435E-001  4.32639905E+000 -3.99644912E+000
  -1.14000000E-001  1.00000000E-003  8.35547928E-002 -2.28818912E-001  4.20204360E+000 -3.86372284E+000
  -1.08000000E-001  1.00000000E-003  8.69182685E-002 -2.32856828E-001  4.11490173E+000 -3.77350458E+000
  -1.02000000E-001  1.00000000E-003  8.91130102E-002 -2.35700773E-001  4.05672911E+000 -3.71436915E+000
  -9.60000000E-002  1.00000000E-003  9.04662064E-002 -2.37478855E-001  4.02128589E+000 -3.67850147E+000
  -9.00000000E-002  1.00000000E-003  9.11937952E-002 -2.38317804E-001  4.00419206E+000 -3.66074585E+000
  -8.40000000E-002  1.00000000E-003  9.14426886E-002 -2.38337135E-001  4.00229104E+000 -3.65758040E+000
  -7.80000000E-002  1.00000000E-003  9.13128071E-002 -2.37635231E-001  4.01344077E+000 -3.66668158E+000
  -7.20000000E-002  1.00000000E-003  9.08829082E-002 -2.36292501E-001  4.03614301E+000 -3.68640676E+000
  -6.60000000E-002  1.00000000E-003  9.01955456E-002 -2.34376400E-001  4.06948415E+000 -3.71583054E+000
  -6.00000000E-002  1.00000000E-003  8.93023073E-002 -2.31944117E-001  4.11274966E+000 -3.75412033E+000
  -5.40000000E-002  1.00000000E-003  8.82200510E-002 -2.29052982E-001  4.16553188E+000 -3.80093196E+000
  -4.80000000E-002  1.00000000E-003  8.69828250E-002 -2.25735237E-001  4.22775876E+000 -3.85603957E+000
  -4.20000000E-002  1.00000000E-003  8.56073515E-002 -2.22030163E-001  4.29943293E+000 -3.91940376E+000
  -3.60000000E-002  1.00000000E-003  8.41089642E-002 -2.17968716E-001  4.38076492E+000 -3.99114868E+000
  -3.00000000E-002  1.00000000E-003  8.25001388E-002 -2.13577299E-001  4.47213629E+000 -4.07154660E+000
  -2.40000000E-002  1.00000000E-003  8.07883436E-002 -2.08885786E-001  4.57398543E+000 -4.16095770E+000
  -1.80000000E-002  1.00000000E-003  7.89887844E-002 -2.03907060E-001  4.68709627E+000 -4.25991928E+000
  -1.20000000E-002  1.00000000E-003  7.71052069E-002 -1.98663330E-001  4.81230119E+000 -4.36911120E+000
  -6.00000000E-003  1.00000000E-003  7.51417218E-002 -1.93178189E-001  4.95053376E+000 -4.48929160E+000
   0.00000000E+000  1.00000000E-003  7.31076547E-002 -1.87461329E-001  5.10314312E+000 -4.62146031E+000
   6.00000000E-003  1.00000000E-003  7.10076248E-002 -1.81529991E-001  5.27157774E+000 -4.76673816E+000
   1.20000000E-002  1.00000000E-003  6.88439509E-002 -1.75397816E-001  5.45765626E+000 -4.92654131E+000
   1.80000000E-002  1.00000000E-003  6.66227429E-002 -1.69073294E-001  5.66362224E+000 -5.10253310E+000
   2.40000000E-002  1.00000000E-003  6.43444657E-002 -1.62571858E-001  5.89201730E+000 -5.29666448E+000
   3.00000000E-002  1.00000000E-003  6.20123953E-002 -1.55904134E-001  6.14598997E+000 -5.51126497E+000
   3.60000000E-002  1.00000000E-003  5.96301758E-002 -1.49079750E-001  6.42936760E+000 -5.74910734E+000
   4.20000000E-002  1.00000000E-003  5.71975546E-002 -1.42108446E-001  6.74688379E+000 -6.01363470E+000
   4.80000000E-002  1.00000000E-003  5.47208295E-002 -1.34997025E-001  7.10435116E+000 -6.30882552E+000
   5.40000000E-002  1.00000000E-003  5.21959185E-002 -1.27756753E-001  7.50904289E+000 -6.63979992E+000
   6.00000000E-002  1.00000000E-003  4.96312517E-002 -1.20390185E-001  7.97024577E+000 -7.01251637E+000
   6.60000000E-002  1.00000000E-003  4.70228427E-002 -1.12910463E-001  8.49958930E+000 -7.43456249E+000
   7.20000000E-002  1.00000000E-003  4.43731519E-002 -1.05322621E-001  9.11245736E+000 -7.91529301E+000
   7.80000000E-002  1.00000000E-003  4.16838168E-002 -9.76346856E-002  9.82896279E+000 -8.46625638E+000
   8.40000000E-002  1.00000000E-003  3.89554494E-002 -8.98503910E-002  1.06765968E+001 -9.10212366E+000
   9.00000000E-002  1.00000000E-003  3.61894930E-002 -8.19768632E-002  1.16927973E+001 -9.84078539E+000
   9.60000000E-002  1.00000000E-003  3.33860876E-002 -7.40204202E-002  1.29304698E+001 -1.07040254E+001
   1.02000000E-001  1.00000000E-003  3.05454890E-002 -6.59865817E-002  1.44662912E+001 -1.17165125E+001
   1.08000000E-001  1.00000000E-003  2.76696149E-002 -5.78788447E-002  1.64146669E+001 -1.29005377E+001
   1.14000000E-001  1.00000000E-003  2.47583520E-002 -4.97023369E-002  1.89510264E+001 -1.42587531E+001
   1.20000000E-001  1.00000000E-003  2.18129155E-002 -4.14586408E-002  2.23511397E+001 -1.57159017E+001
   1.26000000E-001  1.00000000E-003  1.88352895E-002 -3.31466785E-002  2.70443908E+001 -1.69294594E+001
   1.32000000E-001  1.00000000E-003  1.68346069E-002 -2.75626431E-002  3.11809159E+001 -1.70752714E+001
   1.38000000E-001  1.00000000E-003  1.68346069E-002 -2.75626431E-002  3.11809159E+001 -1.70752714E+001
   1.44000000E-001  1.00000000E-003  1.68346069E-002 -2.75626431E-002  3.11809159E+001 -1.70752714E+001
   1.50000000E-001  1.00000000E-003 -4.95686859E-003  2.82240171E-002  2.59367933E+001  2.57139554E+001
   1.56000000E-001  1.00000000E-003 -4.95686859E-003  2.82240171E-002  2.59367933E+001  2.57139554E+001
   1.62000000E-001  1.00000000E-003 -4.95686859E-003  2.82240171E-002  2.59367933E+001  2.57139554E+001
   1.68000000E-001  1.00000000E-003 -4.95686859E-003  2.82240171E-002  2.59367933E+001  2.57139554E+001
   1.74000000E-001  1.00000000E-003 -7.19613574E-003  3.40540882E-002  2.26535329E+001  2.26077893E+001
   1.80000000E-001  1.00000000E-003 -1.05842955E-002  4.28057171E-002  1.89361843E+001  1.89350252E+001
   1.86000000E-001  1.00000000E-003 -1.40020127E-002  5.15742275E-002  1.62063666E+001  1.61722440E+001
   1.92000000E-001  1.00000000E-003 -1.74466320E-002  6.03613171E-002  1.41334219E+001  1.40549273E+001
   1.98000000E-001  1.00000000E-003 -2.09164522E-002  6.91660948E-002  1.25132638E+001  1.23959673E+001
   2.04000000E-001  1.00000000E-003 -2.44107443E-002  7.79866705E-002  1.12159201E+001  1.10684473E+001
   2.10000000E-001  1.00000000E-003 -2.79288577E-002  8.68205177E-002  1.01557357E+001  9.98596815E+000
   2.16000000E-001  1.00000000E-003 -3.14703052E-002  9.56645182E-002  9.27439324E+000  9.08866694E+000
   2.22000000E-001  1.00000000E-003 -3.50351049E-002  1.04516444E-001  8.53089168E+000  8.33406163E+000
   2.28000000E-001  1.00000000E-003 -3.86221443E-002  1.13374750E-001  7.89569369E+000  7.69142602E+000
   2.34000000E-001  1.00000000E-003 -4.22331052E-002  1.22232388E-001  7.34730704E+000  7.13829050E+000
   2.40000000E-001  1.00000000E-003 -4.58660165E-002  1.31091219E-001  6.86914565E+000  6.65741199E+000
   2.46000000E-001  1.00000000E-003 -4.95199433E-002  1.39949053E-001  6.44872211E+000  6.23578384E+000
   2.52000000E-001  1.00000000E-003 -5.31983219E-002  1.48798312E-001  6.07647371E+000  5.86339468E+000
   2.58000000E-001  1.00000000E-003 -5.68968920E-002  1.57641870E-001  5.74455463E+000  5.53216625E+000
   2.64000000E-001  1.00000000E-003 -6.06181109E-002  1.66476055E-001  5.44686296E+000  5.23574738E+000
   2.70000000E-001  1.00000000E-003 -6.43598749E-002  1.75298559E-001  5.17845962E+000  4.96904844E+000
   2.76000000E-001  1.00000000E-003 -6.81238571E-002  1.84106000E-001  4.93530744E+000  4.72789021E+000
   2.82000000E-001  1.00000000E-003 -7.19075005E-002  1.92900163E-001  4.71399207E+000  4.50879084E+000
   2.88000000E-001  1.00000000E-003 -7.57123208E-002  2.01676625E-001  4.51178364E+000  4.30892993E+000
   2.94000000E-001  1.00000000E-003 -7.95377850E-002  2.10433516E-001  4.32635237E+000  4.12592571E+000
   3.00000000E-001  1.00000000E-003 -8.33822195E-002  2.19169459E-001  4.15572930E+000  3.95777627E+000
