Circular: qc = 1.5, qa = 3.6, mu = 2.0, epsa = 0.2
b_w   	  pc           	 delta_W   	pc		delta_W
inf	  1.6740e-1      2.899e-04	1.6743e-1	2.042e-05  
1.800	  1.7087e-1     -5.786e-04	1.7081e-1      -3.960e-05
1.750	  1.7087e-1	 5.705e-03 	1.7150e-1       6.513e-05
1.700	  1.7253e-1	 1.121e-03	1.7266e-1      -3.949e-05 
1.650	  1.7379e-1      1.362e-04	1.7381e-1      -4.227e-05  
1.600	  1.7511e-1	 1.450e-03	1.7527e-1	2.480e-05
1.550	  1.7715e-1	 2.349e-04  	1.7718e-1      -3.229e-05
1.500	  1.7982e-1     -1.204e-03      1.7968e-1	4.164e-05
1.450	  1.8297e-1	 7.458e-04	1.8306e-1      -5.150e-05
1.400	  1.8760e-1      8.299e-04	1.8769e-1       3.795e-05
1.350	  1.9417e-1	 1.174e-03      1.9430e-1	4.690e-05
1.325	  1.9878e-1     -4.903e-04	1.9872e-1	2.373e-05
1.300	  2.0447e-1     -2.141e-03	2.0421e-1	4.596e-05
1.275	  2.1151e-1     -1.073e-03      2.1138e-1	3.570e-06
1.250	  2.2064e-1     -1.069e-04      2.2063e-1      -3.092e-05
1.225	  2.35e-1	-7.695e-03	2.3386e-1      -3.376e-05
1.210	  2.4531e-1     -4.158e-04	2.4524e-1      -1.327e-05  
1.200	  2.5530e-1      1.543e-03 	2.5560e-1       5.799e-05
1.190	  2.7068e-1	 2.582e-04	2.7075e-1	8.340e-06
1.189	  2.7300e-1     -7.726e-04	2.7278e-1      -3.062e-05
1.188	  2.7523e-1     -9.087e-04 	2.7493e-1       4.297e-05
1.187	  2.7738e-1     -2.304e-04 	2.7730e-1	6.704e-06
1.186	  2.8e-1	-2.934e-04	2.7990e-1      -2.057e-05
1.185	  2.8313e-1     -8.578e-04 	2.8280e-1      -4.661e-05
1.184	  2.8631e-1     -5.095e-04 	2.8609e-1      -3.217e-05
1.183	  2.8991e-1      1.028e-04	2.9000e-1      -6.280e-05
1.182	  2.95e-1	-1.894e-04	2.9488e-1      -1.937e-05
1.181	  3.0244e-1     -2.347e-04  	3.0211e-1       3.649e-05
