Circular: qc = 0.8, qa = 2.8, mu = 2.0, epsa = 0.2
 8.0000e-01  2.8000e+00  0.0000e-04  2.0000e+00  2.0000e-01  2.1460e-01  7.3534e-02  1.4106e-01  4.5418e+01  6.9268e-03  1.5302e-01  2.3636e+00  5.1429e-02  9.5780e-01
 8.0000e-01  2.8000e+00  2.5000e-03  2.0000e+00  2.0000e-01  2.1451e-01  7.3318e-02  1.4120e-01  3.4148e+01  5.3664e-02  2.3712e-01  2.0637e+00  2.5898e-01  9.6495e-01
 8.0000e-01  2.8000e+00  5.0000e-03  2.0000e+00  2.0000e-01  2.1438e-01  7.3018e-02  1.4137e-01  2.6518e+01  1.4980e-01  3.3098e-01  1.7860e+00  5.2116e-01  9.7133e-01
 8.0000e-01  2.8000e+00  7.5000e-03  2.0000e+00  2.0000e-01  2.1422e-01  7.2680e-02  1.4154e-01  2.1831e+01  2.7904e-01  4.1106e-01  1.5775e+00  7.8511e-01  9.7594e-01
 8.0000e-01  2.8000e+00  1.0000e-02  2.0000e+00  2.0000e-01  2.1402e-01  7.2301e-02  1.4172e-01  1.8618e+01  4.3295e-01  4.7841e-01  1.4169e+00  1.0500e+00  9.7937e-01
 8.0000e-01  2.8000e+00  1.5000e-02  2.0000e+00  2.0000e-01  2.1350e-01  7.1405e-02  1.4209e-01  1.4475e+01  7.8986e-01  5.8197e-01  1.1887e+00  1.5812e+00  9.8405e-01
 8.0000e-01  2.8000e+00  2.0000e-02  2.0000e+00  2.0000e-01  2.1278e-01  7.0292e-02  1.4249e-01  1.1927e+01  1.1849e+00  6.5494e-01  1.0392e+00  2.1127e+00  9.8700e-01
 8.0000e-01  2.8000e+00  2.5000e-02  2.0000e+00  2.0000e-01  2.1182e-01  6.8911e-02  1.4291e-01  1.0217e+01  1.5990e+00  7.0721e-01  9.3906e-01  2.6437e+00  9.8895e-01
 8.0000e-01  2.8000e+00  3.0000e-02  2.0000e+00  2.0000e-01  2.1057e-01  6.7199e-02  1.4337e-01  9.0042e+00  2.0218e+00  7.4530e-01  8.7345e-01  3.1737e+00  9.9026e-01
 8.0000e-01  2.8000e+00  3.5000e-02  2.0000e+00  2.0000e-01  2.0895e-01  6.5072e-02  1.4388e-01  8.1133e+00  2.4472e+00  7.7343e-01  8.3479e-01  3.7025e+00  9.9113e-01
